age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,2143,yes,no,261,1,-1,0,unknown,no
44,technician,single,secondary,29,yes,no,151,1,-1,0,unknown,no
33,entrepreneur,married,secondary,2,yes,yes,76,1,-1,0,unknown,yes
47,blue-collar,married,unknown,1506,yes,no,92,1,-1,0,unknown,no
33,unknown,single,unknown,1,no,no,198,1,-1,0,unknown,yes
35,management,married,tertiary,231,yes,no,139,1,-1,0,unknown,no
28,management,single,tertiary,447,yes,yes,217,1,-1,0,unknown,yes
42,entrepreneur,divorced,tertiary,2,yes,no,380,1,-1,0,unknown,yes
58,retired,married,primary,121,yes,no,50,1,-1,0,unknown,yes
43,technician,single,secondary,593,yes,no,55,1,-1,0,unknown,yes
41,admin.,divorced,secondary,270,yes,no,222,1,-1,0,unknown,yes
29,admin.,single,secondary,390,yes,no,137,1,-1,0,unknown,yes
53,technician,married,secondary,6,yes,no,517,1,-1,0,unknown,yes
58,technician,married,unknown,71,yes,no,71,1,-1,0,unknown,yes
57,services,married,secondary,162,yes,no,174,1,-1,0,unknown,yes
51,retired,married,primary,229,yes,no,353,1,-1,0,unknown,yes
45,admin.,single,unknown,13,yes,no,98,1,-1,0,unknown,yes
57,blue-collar,married,primary,52,yes,no,38,1,-1,0,unknown,yes
60,retired,married,primary,60,yes,no,219,1,-1,0,unknown,yes
33,services,married,secondary,0,yes,no,54,1,-1,0,unknown,yes
